grouping	metab_deriv_label	dispersion	sample_id	sample_type	sampling_date	sampling_time	sampling_day	site
site	CINAR_BC_110	0.1623676682795526	Metab_318	seawater	20210126	dawn	Day5	LB_seagrass
site	CINAR_BC_74	0.11268133796869378	Metab_289	seawater	20210124	peak_photo	Day3	LB_seagrass
site	CINAR_BC_57	0.08583760625829744	Metab_272	seawater	20210124	dawn	Day3	LB_seagrass
site	CINAR_BC_48	0.08359635190344526	Metab_183	seawater	20210123	peak_photo	Day2	LB_seagrass
site	CINAR_BC_54	0.07018135740374618	Metab_287	seawater	20210124	dawn	Day3	LB_seagrass
site	CINAR_BC_120	0.1096232517488297	Metab_332	seawater	20210126	peak_photo	Day5	LB_seagrass
site	CINAR_BC_77	0.2027049946907724	Metab_234	seawater	20210123	dawn	Day2	Tektite
site	CINAR_BC_98	0.4031142898806882	Metab_270	seawater	20210125	peak_photo	Day4	Tektite
site	CINAR_BC_101	0.19418833994464088	Metab_312	seawater	20210126	dawn	Day5	Tektite
site	CINAR_BC_90	0.2124568531004189	Metab_264	seawater	20210125	peak_photo	Day4	Tektite
site	CINAR_BC_72	0.29538257875937846	Metab_266	seawater	20210124	peak_photo	Day3	Tektite
site	CINAR_BC_93	0.18719563282632593	Metab_261	seawater	20210125	peak_photo	Day4	Tektite
site	CINAR_BC_84	0.20107052397872616	Metab_316	seawater	20210125	dawn	Day4	Tektite
site	CINAR_BC_42	0.2022895421783181	Metab_224	seawater	20210123	peak_photo	Day2	Tektite
site	CINAR_BC_43	0.2547935694707564	Metab_236	seawater	20210123	peak_photo	Day2	Tektite
site	CINAR_BC_75	0.18712431256729672	Metab_322	seawater	20210125	dawn	Day4	Tektite
site	CINAR_BC_79	0.31768791039264394	Metab_241	seawater	20210123	dawn	Day2	Tektite
site	CINAR_BC_68	0.2556977915454951	Metab_283	seawater	20210124	peak_photo	Day3	Tektite
site	CINAR_BC_66	0.21715788827666527	Metab_277	seawater	20210124	peak_photo	Day3	Tektite
site	CINAR_BC_105	0.2544897608849295	Metab_321	seawater	20210126	dawn	Day5	Tektite
site	CINAR_BC_116	0.19172428541953146	Metab_314	seawater	20210126	peak_photo	Day5	Tektite
site	CINAR_BC_115	0.24104266777196676	Metab_311	seawater	20210126	peak_photo	Day5	Tektite
site	CINAR_BC_112	0.23514651067185405	Metab_320	seawater	20210126	peak_photo	Day5	Tektite
site	CINAR_BC_108	0.2731493650939616	Metab_315	seawater	20210126	dawn	Day5	Tektite
