asv_id	dawn (Tektite - LB_seagrass)	Tektite_dawn - all_peak_photo	Yawzi_dawn - all_peak_photo	Tektite - LB_seagrass_all	Yawzi - LB_seagrass_all	Tektite_dawn - LB_seagrass_all	Yawzi_dawn - LB_seagrass_all	Tektite_peak_photo - LB_seagrass_all	Yawzi_peak_photo - LB_seagrass_all	dawn (Yawzi - LB_seagrass)	peak_photo (Yawzi - LB_seagrass)	peak_photo (Tektite - LB_seagrass)	LB_seagrass (peak_photo - dawn)	Yawzi (peak_photo - dawn)	dawn (Yawzi - Tektite)	peak_photo (Yawzi - Tektite)	Tektite_dawn - LB_seagrass_dawn	Yawzi_dawn - LB_seagrass_dawn	Tektite_peak_photo - LB_seagrass_peak_photo	Tektite_dawn - LB_seagrass	Tektite_peak_photo - LB_seagrass	Yawzi_peak_photo - LB_seagrass	Tektite (peak_photo - dawn)	Yawzi_peak_photo - LB_seagrass_peak_photo	Yawzi_dawn - LB_seagrass	test_type	Domain	Phylum	Class	Order	Family	Genus	taxonomy
ASV_00848	corncob									corncob	corncob										deseq					deseq_corncob	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	Campylobacteria;Sulfurovum
ASV_00851	corncob									corncob	corncob															corncob	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonadaceae	Alphaproteobacteria;Sphingomonadaceae
ASV_00882										corncob	corncob															corncob	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Halieaceae	Gammaproteobacteria;Halieaceae
ASV_00899											corncob	corncob														corncob	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	MD3-55	Alphaproteobacteria;MD3-55
ASV_00917											corncob	corncob														corncob	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Amoebophilaceae	Bacteroidia;Amoebophilaceae
ASV_00967										corncob																corncob	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales	Rhizobiales	Alphaproteobacteria;Rhizobiales
ASV_00975										corncob																corncob	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobiaceae	Alphaproteobacteria;Rhizobiaceae
ASV_00993												corncob														corncob	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zeaxanthinibacter	Bacteroidia;Zeaxanthinibacter
ASV_01015	corncob									corncob	corncob															corncob	Bacteria	Actinobacteriota	Acidimicrobia	Microtrichales	Microtrichaceae	Microtrichaceae	Acidimicrobia;Microtrichaceae
ASV_01119										corncob																corncob	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12	Alphaproteobacteria;SM2D12
ASV_01134	corncob	rademu	rademu	rademu	rademu					corncob	corncob	corncob														rademu_corncob	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales	Woesearchaeales	Nanoarchaeia;Woesearchaeales
ASV_01140	corncob						rademu		rademu	corncob	corncob															rademu_corncob	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC AAA011-D5	SCGC AAA011-D5	Nanoarchaeia;SCGC AAA011-D5
ASV_01180												corncob														corncob	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	Francisellaceae	Gammaproteobacteria;Francisellaceae
ASV_01202										corncob		corncob														corncob	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Aureispira	Bacteroidia;Aureispira
ASV_01217												corncob														corncob	Bacteria	Gemmatimonadota	PAUC43f marine benthic group	PAUC43f marine benthic group	PAUC43f marine benthic group	PAUC43f marine benthic group	Gemmatimonadota;PAUC43f marine benthic group
ASV_01239	corncob																									corncob	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	Gammaproteobacteria;Woeseia
ASV_01319	corncob									corncob																corncob	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	Gastranaerophilales	Gastranaerophilales	Vampirivibrionia;Gastranaerophilales
ASV_01399										corncob																corncob	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilaceae	Bacteroidia;Marinifilaceae
ASV_01427	corncob									corncob																corncob	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae	Anaerolineae;Anaerolineaceae
ASV_01448												corncob														corncob	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus	Bacteroidia;Vicingus
ASV_01571	corncob									corncob																corncob	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	Thermoanaerobaculia;Subgroup 10
ASV_01583										corncob	corncob	corncob														corncob	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	GW2011_GWC1_47_15	Nanoarchaeia;GW2011_GWC1_47_15
ASV_01660	corncob									corncob																corncob	Bacteria	Actinobacteriota	Acidimicrobia	Actinomarinales	Actinomarinales	Actinomarinales	Acidimicrobia;Actinomarinales
ASV_01729	corncob									corncob	corncob	corncob														corncob	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	Campylobacteria;Sulfurimonas
ASV_01740	corncob									corncob																corncob	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	Planctomycetes;Rhodopirellula
ASV_01787										corncob																corncob	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacilli;Mycoplasma
ASV_01910										corncob																corncob	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilaceae	Verrucomicrobiae;Methylacidiphilaceae
ASV_02032	corncob									corncob																corncob	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales	Babeliales	Babeliae;Babeliales
ASV_02093	corncob									corncob		corncob														corncob	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	Omnitrophia;Candidatus Omnitrophus
ASV_02096											corncob															corncob	Bacteria	Planctomycetota	vadinHA49	vadinHA49	vadinHA49	vadinHA49	Planctomycetota;vadinHA49
ASV_02127	corncob									corncob																corncob	Bacteria	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	Bacteria;Latescibacterota
ASV_02190	corncob									corncob																corncob	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagales	Cytophagales	Bacteroidia;Cytophagales
ASV_02219										corncob	corncob															corncob	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	Planctomycetes;Blastopirellula
ASV_02305	corncob									corncob	corncob	corncob														corncob	Bacteria	Patescibacteria	Gracilibacteria	Gracilibacteria	Gracilibacteria	Gracilibacteria	Patescibacteria;Gracilibacteria
ASV_02345	corncob									corncob		corncob														corncob	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales (SR1)	Absconditabacteriales (SR1)	Absconditabacteriales (SR1)	Gracilibacteria;Absconditabacteriales (SR1)
ASV_02380	corncob																									corncob	Bacteria	Acidobacteriota	Subgroup 22	Subgroup 22	Subgroup 22	Subgroup 22	Acidobacteriota;Subgroup 22
ASV_02718											corncob															corncob	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC AAA286-E23	SCGC AAA286-E23	Nanoarchaeia;SCGC AAA286-E23
ASV_02722												corncob														corncob	Bacteria	Patescibacteria	Gracilibacteria	Candidatus Peribacteria	Candidatus Peribacteria	Candidatus Peribacteria	Gracilibacteria;Candidatus Peribacteria
ASV_02725	corncob									corncob																corncob	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	JGI 0000069-P22	JGI 0000069-P22	Gracilibacteria;JGI 0000069-P22
ASV_02748	corncob																									corncob	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2	Bacteroidetes BD2-2	Bacteroidia;Bacteroidetes BD2-2
ASV_02936	corncob									corncob																corncob	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Crenarchaeota;Bathyarchaeia
