asv_id	Yawzi_peak_photo - LB_seagrass	dawn (Yawzi - LB_seagrass)	dawn (Tektite - LB_seagrass)	peak_photo (Yawzi - LB_seagrass)	peak_photo (Tektite - LB_seagrass)	LB_seagrass (peak_photo - dawn)	dawn (Yawzi - Tektite)	peak_photo (Yawzi - Tektite)	Yawzi (peak_photo - dawn)	Tektite (peak_photo - dawn)	Yawzi_dawn - LB_seagrass_dawn	Tektite_peak_photo - LB_seagrass	Tektite_dawn - LB_seagrass_dawn	Yawzi_dawn - LB_seagrass	Tektite_dawn - LB_seagrass	Tektite_peak_photo - LB_seagrass_peak_photo	Yawzi_peak_photo - LB_seagrass_peak_photo	test_type	taxonomy	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_00460												deseq						deseq	Verrucomicrobiae;Lentimonas	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas	
ASV_00471				corncob														corncob	Bacteroidia;NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	
ASV_00482		corncob																corncob	Desulfuromonadia;Bradymonadales	Bacteria	Desulfobacterota	Desulfuromonadia	Bradymonadales			
ASV_00490												deseq						deseq	Gammaproteobacteria;Enterobacterales	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales			
ASV_00491													deseq		deseq			deseq	Alphaproteobacteria;OM75 clade	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	OM75 clade	
ASV_00495		corncob																corncob	Bacteroidia;Crocinitomix	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	
ASV_00512			corncob															corncob	Bacteroidia;Crocinitomix	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	
ASV_00516													deseq		deseq			deseq	Oligoflexia;Oligoflexaceae	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae		
ASV_00517													deseq					deseq	Gammaproteobacteria;Pseudohaliea	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Pseudohaliea	
ASV_00524												deseq						deseq	Bacteria;Margulisbacteria	Bacteria	Margulisbacteria					
ASV_00530												deseq						deseq	Bacteroidia;Roseimarinus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Roseimarinus	
ASV_00538												deseq						deseq	Alphaproteobacteria;Hyphomonas	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphomonas	
ASV_00543		corncob											deseq					all	Bacteroidia;Saprospiraceae	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae		
ASV_00562														deseq				deseq	Bacteroidia;Macellibacteroides	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Macellibacteroides	
ASV_00565												deseq						deseq	Proteobacteria;Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria				
