asv_id	dawn (Tektite - LB_seagrass)	dawn (Yawzi - LB_seagrass)	peak_photo (Tektite - LB_seagrass)	peak_photo (Yawzi - LB_seagrass)	peak_photo (Yawzi - Tektite)	dawn (Yawzi - Tektite)	LB_seagrass (peak_photo - dawn)	Yawzi (peak_photo - dawn)	Tektite (peak_photo - dawn)	test_type	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_00047	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	corncob	corncob		deseq		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	NS4 marine group
ASV_00048	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	corncob	deseq_corncob		deseq_corncob		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NS5 marine group
ASV_00049	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq	deseq	deseq_corncob		all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00050	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob			deseq			all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae
ASV_00055	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob				deseq_corncob		all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00057	deseq_corncob		corncob	corncob			deseq			all	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II	Marine Group II	Marine Group II
ASV_00058	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq	deseq	deseq		all	Bacteria	Actinobacteriota	Acidimicrobia	Microtrichales	Microtrichaceae	Sva0996 marine group	Sva0996 marine group
ASV_00059	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq_corncob		deseq		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	Ascidiaceihabitans
ASV_00060	deseq	deseq_corncob	deseq	deseq				deseq		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Litorimicrobium	Litorimicrobium
ASV_00063	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob						all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
