Source,Target,Type,Weight,estimate
16,340,Undirected,0.6444433969549976,0.6444433969549976
16,333,Undirected,0.6535271723231965,0.6535271723231965
17,336,Undirected,0.6701907097949871,0.6701907097949871
17,341,Undirected,0.5479699887365572,0.5479699887365572
17,332,Undirected,0.5737863538475543,0.5737863538475543
18,331,Undirected,0.568150067148874,0.568150067148874
18,342,Undirected,0.6738794252481533,0.6738794252481533
19,336,Undirected,0.5505299621496941,0.5505299621496941
19,343,Undirected,0.6845175108516826,-0.6845175108516826
19,344,Undirected,0.5592455661700511,0.5592455661700511
19,342,Undirected,0.5608372411767257,0.5608372411767257
20,336,Undirected,0.669231980936097,0.669231980936097
20,331,Undirected,0.5716356503829162,0.5716356503829162
20,345,Undirected,0.7476353278392972,0.7476353278392972
20,332,Undirected,0.6030058994892957,0.6030058994892957
20,344,Undirected,0.677303490132916,0.677303490132916
20,342,Undirected,0.5890635665531271,0.5890635665531271
21,346,Undirected,0.5620575172600378,-0.5620575172600378
21,347,Undirected,0.6175306055557213,0.6175306055557213
21,348,Undirected,0.614390619425777,-0.614390619425777
21,340,Undirected,0.542170938437057,0.542170938437057
21,332,Undirected,0.66253707341825685,0.66253707341825685
22,347,Undirected,0.747520407079024,0.747520407079024
22,341,Undirected,0.7549938692197389,0.7549938692197389
22,332,Undirected,0.6258550166854725,0.6258550166854725
22,342,Undirected,0.8109307588519343,0.8109307588519343
23,329,Undirected,0.6032657729833848,0.6032657729833848
23,330,Undirected,0.6834339820177217,0.6834339820177217
23,340,Undirected,0.5321164874654108,0.5321164874654108
24,328,Undirected,0.5409857064593149,0.5409857064593149
24,347,Undirected,0.6326781990795377,0.6326781990795377
24,348,Undirected,0.5236660134088282,-0.5236660134088282
24,331,Undirected,0.5695122597189397,0.5695122597189397
24,341,Undirected,0.543827333099102,0.543827333099102
24,332,Undirected,0.6785244453896491,0.6785244453896491
24,342,Undirected,0.6031328403463547,0.6031328403463547
25,336,Undirected,0.7016381200238287,0.7016381200238287
25,347,Undirected,0.6170909843266149,0.6170909843266149
25,348,Undirected,0.5913144185652692,-0.5913144185652692
25,341,Undirected,0.7234139552477281,0.7234139552477281
25,332,Undirected,0.7037002452847364,0.7037002452847364
25,342,Undirected,0.5907988872500425,0.5907988872500425
26,336,Undirected,0.6286029771853056,0.6286029771853056
26,331,Undirected,0.5236660134088282,0.5236660134088282
26,333,Undirected,0.5786815089809619,0.5786815089809619
26,332,Undirected,0.5888695637165423,0.5888695637165423
27,349,Undirected,0.5517279370197918,0.5517279370197918
28,334,Undirected,0.5786578250653562,0.5786578250653562
28,333,Undirected,0.5322806427983694,0.5322806427983694
29,329,Undirected,0.6033633020764908,0.6033633020764908
29,333,Undirected,0.6033633020764908,0.6033633020764908
30,329,Undirected,0.558300395256917,0.558300395256917
30,333,Undirected,0.5948616600790514,0.5948616600790514
