label	NMDS1	NMDS2	type	sample_type	sampling_date	sampling_time	sampling_day	site	replicate	text_label
ASV_00054	0.11369258001485251	-0.07636611257808522	species	NA	NA	NA	NA	NA	NA	NA
ASV_00055	0.29463026637719314	0.012238036657887506	species	NA	NA	NA	NA	NA	NA	NA
ASV_00057	0.18445556303886804	0.042144532206492544	species	NA	NA	NA	NA	NA	NA	NA
ASV_00058	-0.26391535235907904	-0.05161162459237589	species	NA	NA	NA	NA	NA	NA	NA
ASV_00059	-0.139241642110147	0.036044996403261316	species	NA	NA	NA	NA	NA	NA	NA
ASV_00060	-0.8636475323243403	0.12783581595515575	species	NA	NA	NA	NA	NA	NA	NA
ASV_00061	0.02136338165420412	-0.35760048641799597	species	NA	NA	NA	NA	NA	NA	NA
ASV_00063	0.20867399033883027	0.017332702148755378	species	NA	NA	NA	NA	NA	NA	NA
ASV_00064	-0.07549330876056626	0.05371508092410086	species	NA	NA	NA	NA	NA	NA	NA
ASV_00065	0.014308896183651602	0.08475330090261905	species	NA	NA	NA	NA	NA	NA	NA
ASV_00066	-0.1705647520466878	-0.05437786981666936	species	NA	NA	NA	NA	NA	NA	NA
ASV_00067	0.29805490368837	0.028774883303657618	species	NA	NA	NA	NA	NA	NA	NA
ASV_00068	0.24702847605807712	0.03155347754567409	species	NA	NA	NA	NA	NA	NA	NA
ASV_00069	-0.48935609147698816	0.087197552588568	species	NA	NA	NA	NA	NA	NA	NA
ASV_00070	0.2881128088983366	-0.018721224879534676	species	NA	NA	NA	NA	NA	NA	NA
ASV_00071	-0.16816055146307848	0.04002829250172013	species	NA	NA	NA	NA	NA	NA	NA
ASV_00072	0.30627308934906955	-0.00529996568611153	species	NA	NA	NA	NA	NA	NA	NA
ASV_00073	-0.5128417260491629	-0.022601294944724442	species	NA	NA	NA	NA	NA	NA	NA
ASV_00074	-0.16983931282315592	0.0013032219939825822	species	NA	NA	NA	NA	NA	NA	NA
ASV_00075	-0.07514128700777825	-0.02239191797091481	species	NA	NA	NA	NA	NA	NA	NA
ASV_00077	0.30573764203920833	0.029453525610142323	species	NA	NA	NA	NA	NA	NA	NA
