contrast	asv_id	estimate	pval	group	site	commonid	test_type	model	sampling_time	Combo	baseline	baseMean	padj	log2FoldChange_MMSE	pair1	pair2	hold	variable	p_fdr
Tektite - LB_seagrass_all	ASV_00045	34.58313973953347	4.08428591456976e-9	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00045	31.168952298479315	2.3651884712992437e-8	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00060	17.902886695900083	2.3246823635676846e-5	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00060	17.584419718805616	2.7483081651472466e-5	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00072	43.28475775891085	4.7325577581316665e-11	high_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00072	39.24739386088051	3.733663954973419e-10	high_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00097	30.037973932664563	4.2366784175039824e-8	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00097	32.0105794017588	1.5333524162206727e-8	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00105	19.977523664675644	7.835783786411975e-6	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00105	19.236463187634936	1.1548634742599073e-5	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00111	22.81035516956749	1.787997222056662e-6	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00111	21.310917527471425	3.905011745072226e-6	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00124	34.15521930953391	5.08865735212325e-9	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
