grouping	sample_id	dispersion	metab_deriv_label	sample_type	sampling_date	sampling_time	sampling_day	site
site.time	Metab_227	0.15277161243372359	CINAR_BC_44	seawater	20210123	peak_photo	Day2	Tektite
site.time	Metab_236	0.15309679268537213	CINAR_BC_43	seawater	20210123	peak_photo	Day2	Tektite
site.time	Metab_261	0.16205171071400468	CINAR_BC_93	seawater	20210125	peak_photo	Day4	Tektite
site.time	Metab_264	0.1340021156696264	CINAR_BC_90	seawater	20210125	peak_photo	Day4	Tektite
site.time	Metab_266	0.17437772122376483	CINAR_BC_72	seawater	20210124	peak_photo	Day3	Tektite
site.time	Metab_270	0.134096558891018	CINAR_BC_98	seawater	20210125	peak_photo	Day4	Tektite
site.time	Metab_277	0.14616514422625482	CINAR_BC_64	seawater	20210124	peak_photo	Day3	Tektite
site.time	Metab_283	0.14776641878048272	CINAR_BC_68	seawater	20210124	peak_photo	Day3	Tektite
site.time	Metab_311	0.2349470930404994	CINAR_BC_115	seawater	20210126	peak_photo	Day5	Tektite
site.time	Metab_314	0.17803382679084798	CINAR_BC_116	seawater	20210126	peak_photo	Day5	Tektite
site.time	Metab_320	0.1548149518884732	CINAR_BC_112	seawater	20210126	peak_photo	Day5	Tektite
site	Metab_183	0.22847354373758036	CINAR_BC_48	seawater	20210123	peak_photo	Day2	LB_seagrass
site	Metab_189	0.23862161390017644	CINAR_BC_52	seawater	20210123	peak_photo	Day2	LB_seagrass
site	Metab_219	0.26639010893383835	CINAR_BC_81B	seawater	20210123	dawn	Day2	LB_seagrass
site	Metab_233	0.21134858132352613	CINAR_BC_49	seawater	20210123	peak_photo	Day2	LB_seagrass
site	Metab_237	0.2050476626001249	CINAR_BC_37	seawater	20210123	dawn	Day2	LB_seagrass
site	Metab_240	0.20661564489540085	CINAR_BC_41	seawater	20210123	dawn	Day2	LB_seagrass
site	Metab_272	0.20528113475442927	CINAR_BC_57	seawater	20210124	dawn	Day3	LB_seagrass
site	Metab_273	0.21863811369806915	CINAR_BC_99	seawater	20210125	peak_photo	Day4	LB_seagrass
site	Metab_279	0.28175036909273643	CINAR_BC_95	seawater	20210125	peak_photo	Day4	LB_seagrass
site	Metab_281	0.2301677637196816	CINAR_BC_63	seawater	20210124	dawn	Day3	LB_seagrass
site	Metab_282	0.24146983874166822	CINAR_BC_100	seawater	20210125	peak_photo	Day4	LB_seagrass
site	Metab_286	0.21667352303423018	CINAR_BC_70	seawater	20210124	peak_photo	Day3	LB_seagrass
site	Metab_287	0.22072468621737007	CINAR_BC_54	seawater	20210124	dawn	Day3	LB_seagrass
site	Metab_289	0.21709904258187007	CINAR_BC_74	seawater	20210124	peak_photo	Day3	LB_seagrass
site	Metab_309	0.21828710626007047	CINAR_BC_109	seawater	20210126	dawn	Day5	LB_seagrass
site	Metab_318	0.20093990627243932	CINAR_BC_110	seawater	20210126	dawn	Day5	LB_seagrass
site	Metab_324	0.2149930996920382	CINAR_BC_103	seawater	20210126	dawn	Day5	LB_seagrass
site	Metab_326	0.30620275628658533	CINAR_BC_117	seawater	20210126	peak_photo	Day5	LB_seagrass
site	Metab_328	0.19780282651281555	CINAR_BC_87	seawater	20210125	dawn	Day4	LB_seagrass
site	Metab_329	0.20787606293710523	CINAR_BC_119	seawater	20210126	peak_photo	Day5	LB_seagrass
site	Metab_332	0.19739215914618688	CINAR_BC_120	seawater	20210126	peak_photo	Day5	LB_seagrass
site	Metab_334	0.22084620788686574	CINAR_BC_83	seawater	20210125	dawn	Day4	LB_seagrass
site	Metab_337	0.1953316880235836	CINAR_BC_85	seawater	20210125	dawn	Day4	LB_seagrass
site	Metab_186	0.19204420713664286	CINAR_BC_47	seawater	20210123	peak_photo	Day2	Yawzi
